id,img,label,text,description
91358,/kaggle/input/facebook-hateful-meme-dataset/data/img/91358.png,1,"everywhere: eats africa: ""we don't do that here""","json
{
""caption_text"": ""we don't do that here"",
""description"": ""A man in a white suit stands on a stage with a microphone. The background is blue and there are lights. The man is looking at the camera. The words 'we don't do that here' are overlaid on the image.""
}"
76458,/kaggle/input/facebook-hateful-meme-dataset/data/img/76458.png,0,this one time at camp someone had too much gas,"json
{
""caption_text"": ""this one time at camp someone had too much gas"",
""description"": ""Two men in orange hard hats are working on a machine in a factory. One of them is pointing at the machine, which is a large metal box with a hose attached to it. The hose is orange and black. The machine has a sign on it that reads 'this one time at camp someone had too much gas'.""
}"
47031,/kaggle/input/facebook-hateful-meme-dataset/data/img/47031.png,1,beer -vs- woman at least the beer can't change its mind after you get its top off,"json
{
""caption_text"": ""beer-vs-woman"",
""description"": ""A meme featuring a glass of beer and a woman with her hands on her head. The caption reads 'at least the beer can't change its mind after you get it to the top off'.""
}"
95326,/kaggle/input/facebook-hateful-meme-dataset/data/img/95326.png,1,im not allowed to barbecue ever since i burnt the franks,"json
{
""caption_text"": ""I'm not allowed to barbecue ever since I burned the franks"",
""description"": ""A black and white photograph of a man in a military uniform. The man is wearing a belt with a buckle and a medal on his chest. He is standing with his hands on his hips and his head slightly tilted to the side. The background is dark and out of focus. The man appears to be in a formal military pose, suggesting that the photograph was taken during a time of war or military service. The text in the image indicates that the man is not allowed to barbecue due to a past incident involving franks.""
}"
14802,/kaggle/input/facebook-hateful-meme-dataset/data/img/14802.png,0,when you walk in your room and your uncle is naked on your bed. this is where the fun begins,"json
{
""caption_text"": ""This is where the fun begins."",
""description"": ""A meme featuring a young man with blonde hair and blue eyes. He is wearing a black blazer and a gray shirt. The background is blurred, focusing attention on the man. The meme has a humorous caption that reads, 'When you walk in your room and your uncle is naked on your bed. This is where the fun begins.' The meme seems to be a light-hearted joke about an unexpected situation.""
}"
4361,/kaggle/input/facebook-hateful-meme-dataset/data/img/04361.png,1,islam turning every single country it touches into a shithole for over 1400 years,"json
{
""caption_text"": ""turning every single country into a shit hole for over 1400 years"",
""description"": ""This statement is a meme that humorously describes the long history of Islam, suggesting that it has been a source of negative influence in many countries for a very long time.""
}"
61407,/kaggle/input/facebook-hateful-meme-dataset/data/img/61407.png,0,i'll take shit that ain't ever gonna happen for $500,"json
{
""caption_text"": ""I'll take shit that ain't ever gonna happen for $500"",
""description"": ""A man with a beard and mustache is making a face. The background is white with a logo that reads 'Glenfiddich'. The man is wearing a black jacket. The text in the image is a quote from the movie 'The Simpsons'.""
}"
87341,/kaggle/input/facebook-hateful-meme-dataset/data/img/87341.png,1,like if you had one of these only the 1840's kids will remember,"json
{
""caption_text"": ""like if you had one of these only the 1840's kids will remember"",
""description"": ""A man is holding a chain in front of his face. The text on the image reads 'like if you had one of these only the 1840's kids will remember'.""
}"
68391,/kaggle/input/facebook-hateful-meme-dataset/data/img/68391.png,0,where is the black guy?,"json
{
""caption_text"": ""Where is the black guy?"",
""description"": ""A young boy peeks out from behind a tree, with the text 'Where is the black guy?' superimposed over the image.""
}"
75086,/kaggle/input/facebook-hateful-meme-dataset/data/img/75086.png,1,the i don't listen well barbie. comes with the stove she should've been using,"json
{
""caption_text"": ""the i don't listen well barbie. comes with the stove she should've been using"",
""description"": ""A meme featuring a blonde Barbie doll with blue eyes and a white wig. The doll is holding her arm out to the side. The caption is a play on words, suggesting that the doll is not as intelligent as she appears, and that she should have been using a stove instead of listening well.""
}"
39765,/kaggle/input/facebook-hateful-meme-dataset/data/img/39765.png,0,you can wear whatever you choose no one should judge you,"json
{
""caption_text"": ""A man in a black shirt stands in front of a cartoon of three men in turbans and robes. The caption reads, 'You can wear whatever you choose. No one should judge you.'"",
""description"": ""The image is a meme featuring a man in a black shirt standing in front of a cartoon of three men in turbans and robes. The caption, written in white text, conveys a message of individual choice and self-expression. The meme seems to advocate for acceptance and non-judgment, suggesting that one's clothing choices should not be subject to judgment from others.""
}"
56423,/kaggle/input/facebook-hateful-meme-dataset/data/img/56423.png,1,whoever photoshopped this is a huge jerk,"json
{
""caption_text"": ""whatever photoshopped this is a huge jerk"",
""description"": ""A person is sitting on a stool with a red shirt on. The text in the image reads 'whatever photoshopped this is a huge jerk'.""
}"
46208,/kaggle/input/facebook-hateful-meme-dataset/data/img/46208.png,0,for the love of god help me change the diaper on my baby the crap is leaking out,"json
{
""caption_text"": ""for the love of god help me change the diaper on my baby the crap is leaking out"",
""description"": ""A meme featuring a woman speaking into a microphone and a man with a diaper on his face. The text in the image reads 'for the love of god help me change the diaper on my baby the crap is leaking out'.""
}"
93547,/kaggle/input/facebook-hateful-meme-dataset/data/img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"json
{
""caption_text"": ""d.j. osama spin laden droppin' beats like the twin towers"",
""description"": ""A woman is standing behind a DJ booth, wearing a black shirt with the words 'Spin Laden' on it. She is smiling and appears to be in control of the booth. The booth is filled with various DJ equipment, including turntables and speakers. The background features a shelf with several trophies and a Spotify logo. The text in the image suggests a humorous comparison between the woman's DJ skills and the 9/11 attacks.""
}"
34852,/kaggle/input/facebook-hateful-meme-dataset/data/img/34852.png,1,"gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?","json
{
""caption_text"": ""gee, I'd like to suicide bomb the crappy out of that church, but I got a thing at 5"",
""description"": ""A man with a beard and a white hat is looking up at the sky. The sky is filled with lights. The man is wearing a brown robe. The image has a text overlay that reads, 'gee, I'd like to suicide bomb the crappy out of that church, but I got a thing at 5'.""
}"
60451,/kaggle/input/facebook-hateful-meme-dataset/data/img/60451.png,1,i love the smell of a dirty tranny... relax adam...let joe smell your schiff!!,"json
{
""caption_text"": ""i love the smell of a dirty tranny...relax adam...let joe smell your schiff!"",
""description"": ""A meme featuring a man and a woman in a crowd. The man is wearing a blue shirt and the woman is wearing a gray shirt. The text in the image is a play on words, suggesting that the man is smelling the woman's shirt. The meme is captioned with a humorous message about a 'dirty tranny' and 'schiff'.""
}"
21740,/kaggle/input/facebook-hateful-meme-dataset/data/img/21740.png,1,the us navy keeping tranny hookers laid since 1715,"json
{
""caption_text"": ""the us navy keeping tranny hookers laid since 1715"",
""description"": ""A black and white meme featuring a man in a US Navy uniform. The man is standing in front of a Christmas tree. The meme is captioned with a statement about the US Navy's history of keeping tranny hookers laid since 1715.""
}"
74956,/kaggle/input/facebook-hateful-meme-dataset/data/img/74956.png,0,show me an american ghetto and i'll show you a place where democrats are in power,"json
{
""caption_text"": ""show me an american ghetto and'll show you a place where democrats are in power"",
""description"": ""A meme with two blue directional signs pointing in opposite directions. The sign on the left reads 'MYTHS' and the sign on the right reads 'FACTS'. The signs are set against a backdrop of a blue sky with white clouds. The text on the signs suggests a political statement about the perception of democrats in certain areas.""
}"
45630,/kaggle/input/facebook-hateful-meme-dataset/data/img/45630.png,0,i cant wait to name you its almost been 9 months,"json
{
""caption_text"": ""I can't wait to name you. It's almost been 9 months."",
""description"": ""A woman with her hand on her stomach, smiling. The text in the image indicates that she is nine months pregnant and is excited about the upcoming birth of her child.""
}"
68973,/kaggle/input/facebook-hateful-meme-dataset/data/img/68973.png,1,and that was the last nativity play my son was invited to take part in,"json
{
""caption_text"": ""and that was the last nativity play my son was invited to take part in"",
""description"": ""A meme featuring a brown vest with red straps and white wires attached to it. The vest is hanging on a white hanger. The background is dark and blurred. The text in the image reads 'and that was the last nativity play my son was invited to take part in'.""
}"
54973,/kaggle/input/facebook-hateful-meme-dataset/data/img/54973.png,0,this is what vitiligo looks like,"json
{
""caption_text"": ""This is what vildigo looks like"",
""description"": ""A young woman with a white face paint on her cheeks and forehead, wearing a white t-shirt with a black and white graphic of a woman's face. She is smiling and looking directly at the camera. The background is a light blue color with a white brick pattern.""
}"
40573,/kaggle/input/facebook-hateful-meme-dataset/data/img/40573.png,1,l only wear silk panties cotton ones remind me of slavery,"json
{
""caption_text"": ""I only wear silk panties cotton ones remind me of slavery"",
""description"": ""A man in a black suit and afro hairstyle is holding an award and speaking into a microphone. The text in the image is a statement about his choice of clothing. The statement suggests that he prefers to wear silk panties instead of cotton ones, as cotton reminds him of slavery.""
}"
48917,/kaggle/input/facebook-hateful-meme-dataset/data/img/48917.png,1,blackpeoplemeet.com,"json
{
""caption_text"": ""A man in a suit talks on the phone to a woman in an orange jumpsuit."",
""description"": ""In the image, a man in a blue suit is seated at a desk, talking on a phone. He is positioned in front of a mirror that reflects the image of a woman in an orange jumpsuit. The woman appears to be engaged in a conversation with the man, as indicated by the phone held to her ear. The man's posture and the phone held to his ear suggest he is actively participating in the call. The desk on which the man is seated is equipped with a lamp and a phone jack, indicating a professional setting. The mirror, the man, and the woman are the main objects in the image, and their relative positions suggest a typical office environment. The image does not contain any text.""
}"
